,LAT,LON,PRES,SAL,TEMP
0,-31.99841,-50.33148,3.0,32.2456,18.3553
1,-31.99855,-50.33156,4.0,32.2511,18.3597
2,-31.99862,-50.33158,5.0,32.2566,18.3641
3,-31.99862,-50.3316,6.0,32.2536,18.3574
4,-31.99865,-50.3316,7.0,32.257,18.3548
5,-31.99867,-50.33161,8.0,32.2629,18.3536
6,-31.99869,-50.33163,9.0,32.4316,18.2894
7,-31.9987,-50.33164,10.0,32.5587,18.1234
8,-31.99872,-50.33164,11.0,32.6359,17.4182
9,-31.99875,-50.33166,12.0,32.7967,16.8154
10,-31.99876,-50.33166,13.0,32.9383,16.3244
11,-31.99878,-50.33168,14.0,33.0696,16.3644
12,-31.9988,-50.33168,15.0,33.5031,16.9456
13,-31.99883,-50.33171,16.0,33.6547,17.1845
14,-31.99884,-50.33172,17.0,33.7634,17.1677
15,-31.99885,-50.33173,18.0,33.929,17.3231
16,-31.99888,-50.33174,19.0,33.974,17.3518
17,-31.9989,-50.33174,20.0,34.0237,17.3296
18,-31.99894,-50.33176,21.0,34.0693,17.2814
19,-31.99894,-50.33174,22.0,34.1757,17.3349
20,-31.99895,-50.33175,23.0,34.3216,17.5069
21,-31.99898,-50.33178,24.0,34.5614,17.7708
22,-31.99899,-50.33178,25.0,34.7189,18.0226
23,-31.99902,-50.33179,26.0,34.8199,18.2083
24,-31.99902,-50.3318,27.0,34.8707,18.3066
25,-31.99905,-50.33182,28.0,34.8977,18.3642
26,-31.99906,-50.33182,29.0,35.0334,18.5636
27,-31.99908,-50.33182,30.0,35.1806,18.7536
28,-31.9991,-50.33184,31.0,35.4076,19.093
29,-31.99912,-50.33184,32.0,35.4934,19.2668
30,-31.99912,-50.33184,33.0,35.62,19.4731
31,-31.99914,-50.33186,34.0,35.6976,19.5969
32,-31.99916,-50.33188,35.0,35.7305,19.6393
33,-31.99918,-50.33188,36.0,35.771,19.6578
34,-31.99919,-50.33188,37.0,35.8125,19.6731
35,-31.99921,-50.3319,38.0,35.8523,19.6928
36,-31.99922,-50.3319,39.0,35.8991,19.6893
37,-31.99923,-50.33191,40.0,35.9255,19.7029
38,-31.99926,-50.33194,41.0,35.957,19.6722
39,-31.99926,-50.33194,42.0,35.9843,19.5734
40,-31.99929,-50.33194,43.0,36.0225,19.5295
41,-31.9993,-50.33196,44.0,36.1819,19.8679
42,-31.9993,-50.33196,45.0,36.3226,20.0517
43,-31.99933,-50.33197,46.0,36.3547,20.1151
44,-31.99934,-50.33198,47.0,36.4,20.1732
45,-31.99936,-50.33199,48.0,36.4101,20.1758
46,-31.99937,-50.332,49.0,36.4074,20.1454
47,-31.99938,-50.332,50.0,36.402,20.0743
48,-31.9994,-50.33201,51.0,36.395,20.0217
49,-31.99942,-50.33202,52.0,36.3909,19.9795
50,-31.99944,-50.33203,53.0,36.387,19.9492
51,-31.99944,-50.33204,54.0,36.386,19.9193
52,-31.99945,-50.33204,55.0,36.3882,19.9112
53,-31.99948,-50.33206,56.0,36.3868,19.8823
54,-31.99948,-50.33208,57.0,36.3795,19.813
55,-31.9995,-50.33206,58.0,36.3752,19.7908
56,-31.99952,-50.33208,59.0,36.3568,19.7074
57,-31.99953,-50.33208,60.0,36.3228,19.4886
58,-31.99955,-50.3321,61.0,36.3127,19.4424
59,-31.99957,-50.33211,62.0,36.3047,19.3991
60,-31.99958,-50.33212,63.0,36.2919,19.3386
61,-31.99958,-50.33212,64.0,36.2676,19.2238
62,-31.99961,-50.33213,65.0,36.2553,19.1418
63,-31.99962,-50.33214,66.0,36.2563,19.1444
64,-31.99964,-50.33214,67.0,36.2554,19.1391
65,-31.99964,-50.33215,68.0,36.2491,19.1085
66,-31.99966,-50.33218,69.0,36.2441,19.0783
67,-31.99968,-50.33218,70.0,36.2398,19.0468
68,-31.9997,-50.33219,71.0,36.2364,19.0262
69,-31.99971,-50.3322,72.0,36.2326,19.0091
70,-31.99974,-50.33222,73.0,36.2287,18.9949
71,-31.99974,-50.33222,74.0,36.1985,18.8592
72,-31.99975,-50.33221,75.0,36.1466,18.5932
73,-31.99978,-50.33223,76.0,36.0937,18.3272
74,-31.9998,-50.33226,77.0,36.0866,18.2785
75,-31.9998,-50.33226,78.0,36.0812,18.2589
76,-31.99981,-50.33226,79.0,36.065,18.1904
77,-31.99984,-50.33228,80.0,36.0465,18.1093
78,-31.99984,-50.33228,81.0,36.028,18.0215
79,-31.99985,-50.33228,82.0,36.0057,17.9018
80,-31.99987,-50.33229,83.0,35.9943,17.8446
81,-31.99988,-50.3323,84.0,35.9868,17.7983
82,-31.99989,-50.33231,85.0,35.9835,17.7778
83,-31.9999,-50.33232,86.0,35.9771,17.7376
84,-31.99992,-50.33232,87.0,35.9716,17.7078
85,-31.99992,-50.33232,88.0,35.9611,17.6525
86,-31.99996,-50.33238,89.0,35.9499,17.6
87,-31.99996,-50.33236,90.0,35.9368,17.5335
88,-31.99998,-50.33237,91.0,35.9274,17.4905
89,-32.0,-50.33238,92.0,35.9213,17.4585
90,-32.00001,-50.33238,93.0,35.9188,17.4451
91,-32.00002,-50.33241,94.0,35.916,17.4294
92,-32.00004,-50.33242,95.0,35.9139,17.4171
93,-32.00006,-50.33241,96.0,35.9138,17.4164
94,-32.00006,-50.33244,97.0,35.9139,17.416
95,-32.00008,-50.33244,98.0,35.9142,17.4174
96,-32.0001,-50.33244,99.0,35.9139,17.4141
97,-32.00012,-50.33246,100.0,35.9109,17.4017
98,-32.00014,-50.33249,101.0,35.8946,17.3334
99,-32.00014,-50.3325,102.0,35.8818,17.2508
100,-32.00014,-50.33248,103.0,35.8532,17.0884
101,-32.00017,-50.33253,104.0,35.8359,16.9797
102,-32.00018,-50.33253,105.0,35.8161,16.8732
103,-32.00018,-50.33252,106.0,35.8101,16.8318
104,-32.00022,-50.33256,107.0,35.8012,16.7871
105,-32.00022,-50.33256,108.0,35.7747,16.6299
106,-32.00026,-50.33258,109.0,35.7574,16.519
107,-32.00026,-50.33258,110.0,35.7431,16.4325
108,-32.00028,-50.3326,111.0,35.7411,16.4185
109,-32.0003,-50.3326,112.0,35.7383,16.3981
110,-32.00031,-50.33261,113.0,35.7369,16.3849
111,-32.00033,-50.33262,114.0,35.7363,16.3804
112,-32.00035,-50.33264,115.0,35.7353,16.3721
113,-32.00037,-50.33264,116.0,35.7354,16.3718
114,-32.00046,-50.33271,117.0,35.7355,16.3762
